cohort_month,cohort_index,total_customers
2016-09-01,0,1
2016-10-01,0,262
2016-10-01,6,1
2016-10-01,9,1
2016-10-01,11,1
2016-10-01,13,1
2016-10-01,15,1
2016-10-01,17,1
2016-10-01,19,2
2016-10-01,20,2
2016-12-01,0,1
2016-12-01,1,1
2017-01-01,0,717
2017-01-01,1,2
2017-01-01,2,2
2017-01-01,3,1
2017-01-01,4,3
2017-01-01,5,1
2017-01-01,6,3
2017-01-01,7,1
2017-01-01,8,1
2017-01-01,10,3
2017-01-01,11,1
2017-01-01,12,5
2017-01-01,13,3
2017-01-01,14,1
2017-01-01,15,1
2017-01-01,16,2
2017-01-01,17,3
2017-01-01,19,1
2017-02-01,0,1628
2017-02-01,1,3
2017-02-01,2,5
2017-02-01,3,2
2017-02-01,4,7
2017-02-01,5,2
2017-02-01,6,4
2017-02-01,7,3
2017-02-01,8,2
2017-02-01,9,3
2017-02-01,10,2
2017-02-01,11,5
2017-02-01,12,2
2017-02-01,13,3
2017-02-01,14,2
2017-02-01,15,1
2017-02-01,16,1
2017-02-01,17,3
2017-03-01,0,2503
2017-03-01,1,11
2017-03-01,2,9
2017-03-01,3,10
2017-03-01,4,9
2017-03-01,5,4
2017-03-01,6,4
2017-03-01,7,8
2017-03-01,8,8
2017-03-01,9,2
2017-03-01,10,9
2017-03-01,11,3
2017-03-01,12,5
2017-03-01,13,3
2017-03-01,14,4
2017-03-01,15,6
2017-03-01,16,2
2017-03-01,17,3
2017-04-01,0,2256
2017-04-01,1,14
2017-04-01,2,5
2017-04-01,3,4
2017-04-01,4,6
2017-04-01,5,6
2017-04-01,6,8
2017-04-01,7,7
2017-04-01,8,7
2017-04-01,9,4
2017-04-01,10,6
2017-04-01,11,2
2017-04-01,12,1
2017-04-01,13,1
2017-04-01,14,2
2017-04-01,15,2
2017-04-01,16,3
2017-05-01,0,3451
2017-05-01,1,16
2017-05-01,2,16
2017-05-01,3,10
2017-05-01,4,10
2017-05-01,5,11
2017-05-01,6,14
2017-05-01,7,5
2017-05-01,8,9
2017-05-01,9,9
2017-05-01,10,9
2017-05-01,11,12
2017-05-01,12,8
2017-05-01,13,1
2017-05-01,14,6
2017-05-01,15,7
2017-06-01,0,3037
2017-06-01,1,15
2017-06-01,2,12
2017-06-01,3,13
2017-06-01,4,9
2017-06-01,5,12
2017-06-01,6,11
2017-06-01,7,7
2017-06-01,8,4
2017-06-01,9,6
2017-06-01,10,9
2017-06-01,11,11
2017-06-01,12,5
2017-06-01,13,5
2017-06-01,14,7
2017-07-01,0,3752
2017-07-01,1,20
2017-07-01,2,13
2017-07-01,3,9
2017-07-01,4,11
2017-07-01,5,8
2017-07-01,6,12
2017-07-01,7,4
2017-07-01,8,7
2017-07-01,9,10
2017-07-01,10,8
2017-07-01,11,11
2017-07-01,12,5
2017-07-01,13,9
2017-08-01,0,4057
2017-08-01,1,28
2017-08-01,2,14
2017-08-01,3,11
2017-08-01,4,14
2017-08-01,5,21
2017-08-01,6,12
2017-08-01,7,11
2017-08-01,8,6
2017-08-01,9,6
2017-08-01,10,10
2017-08-01,11,8
2017-08-01,12,5
2017-09-01,0,4004
2017-09-01,1,28
2017-09-01,2,22
2017-09-01,3,11
2017-09-01,4,18
2017-09-01,5,9
2017-09-01,6,9
2017-09-01,7,10
2017-09-01,8,11
2017-09-01,9,7
2017-09-01,10,10
2017-09-01,11,3
2017-10-01,0,4328
2017-10-01,1,31
2017-10-01,2,11
2017-10-01,3,4
2017-10-01,4,10
2017-10-01,5,9
2017-10-01,6,9
2017-10-01,7,16
2017-10-01,8,12
2017-10-01,9,8
2017-10-01,10,9
2017-11-01,0,7060
2017-11-01,1,40
2017-11-01,2,26
2017-11-01,3,12
2017-11-01,4,12
2017-11-01,5,13
2017-11-01,6,8
2017-11-01,7,13
2017-11-01,8,9
2017-11-01,9,4
2017-12-01,0,5338
2017-12-01,1,11
2017-12-01,2,15
2017-12-01,3,18
2017-12-01,4,14
2017-12-01,5,11
2017-12-01,6,9
2017-12-01,7,1
2017-12-01,8,10
2018-01-01,0,6842
2018-01-01,1,23
2018-01-01,2,25
2018-01-01,3,20
2018-01-01,4,20
2018-01-01,5,11
2018-01-01,6,12
2018-01-01,7,16
2018-02-01,0,6288
2018-02-01,1,22
2018-02-01,2,25
2018-02-01,3,19
2018-02-01,4,16
2018-02-01,5,14
2018-02-01,6,13
2018-03-01,0,6774
2018-03-01,1,27
2018-03-01,2,20
2018-03-01,3,20
2018-03-01,4,8
2018-03-01,5,8
2018-04-01,0,6582
2018-04-01,1,39
2018-04-01,2,20
2018-04-01,3,16
2018-04-01,4,9
2018-05-01,0,6506
2018-05-01,1,34
2018-05-01,2,17
2018-05-01,3,12
2018-06-01,0,5878
2018-06-01,1,25
2018-06-01,2,16
2018-07-01,0,5949
2018-07-01,1,31
2018-08-01,0,6144